id_accion;mes;vigencia_desde;vigencia_hasta;fuente;tipo_regla;categoria;subcategoria;segmento_cliente_aplica;canal_aplica;vendedores_aplica;lineas_comerciales;productos_marcas;condicion_compra;minimo;unidad_minimo;maximo;unidad_maximo;descuento_pct;bonificacion;tope;combinable;prioridad_motor;estado_validacion;aplica_cierre_mes;aplica_modulo;observaciones
ACJ26-011;2026-06;2026-06-01;2026-06-30;PPTX_PLANES_AASS;DESCUENTO_SIMPLE;PLANES_AASS;Spirits;Autoservicio con plan AASS;PLANES_AASS;TODOS_ACTIVOS;"Flia Gordons; Flia Smirnoff";"Gordons; Smirnoff";10% sin mínimo y sin topes;0;;;;10;;Sin tope;NO_ACUMULAR_SIN_VALIDACION;70;ACTIVA;NO;ACCIONES_COMERCIALES_JUNIO;Aplicar solo a clientes dentro de planes AASS.
ACJ26-012;2026-06;2026-06-01;2026-06-30;PPTX_PLANES_AASS;DESCUENTO_SIMPLE;PLANES_AASS;Espumantes;Autoservicio con plan AASS;PLANES_AASS;TODOS_ACTIVOS;"Suter; San Telmo; Dada";"SUTER; SAN TELMO; DADA";7% sin mínimo y sin topes;0;;;;7;;Sin tope;NO_ACUMULAR_SIN_VALIDACION;70;ACTIVA;NO;ACCIONES_COMERCIALES_JUNIO;Aplicar solo a clientes dentro de planes AASS.
ACJ26-013;2026-06;2026-06-01;2026-06-30;PPTX_PLANES_AASS;DESCUENTO_SIMPLE;PLANES_AASS;Resto SKU;Autoservicio con plan AASS;PLANES_AASS;TODOS_ACTIVOS;Resto SKU no excluido;Resto SKU;5% sin mínimo;0;;;;5;;;NO_ACUMULAR_SIN_VALIDACION;60;ACTIVA_CON_EXCLUSIONES;NO;ACCIONES_COMERCIALES_JUNIO;Sin descuento en Planes AS: Vinos de Mesa, Masivos, Ultra Premium Vinos, Super Premium Spirits, Premium Spirits y Standard solo JW Red.
ACJ26-014;2026-06;2026-06-01;2026-06-30;PPTX_POR_VOLUMEN;DESCUENTO_ESCALA;PETIT_MAYORISTAS;VDA;Petit Mayoristas;MAYORISTA;TODOS_ACTIVOS;VDA;Según maestro productos activos;"Más de 50 cajas -> 12%; si retira por depósito -> 15%";51;caja;;;12|15;;;NO_ACUMULAR_SIN_VALIDACION;75;ACTIVA_CON_CONDICION_RETIRO;NO;ACCIONES_COMERCIALES_JUNIO;La condición de retiro por depósito debe venir de dato operativo externo o carga manual.
ACJ26-015;2026-06;2026-06-01;2026-06-30;PPTX_POR_VOLUMEN;DESCUENTO_ESCALA;PETIT_MAYORISTAS;Spirits;Petit Mayoristas;MAYORISTA;TODOS_ACTIVOS;"Flia Gordons; Flia Smirnoff";"Gordons; Smirnoff";"Más de 50 cajas -> 12%; si retira por depósito -> 15%";51;caja;;;12|15;;;NO_ACUMULAR_SIN_VALIDACION;75;ACTIVA_CON_CONDICION_RETIRO;NO;ACCIONES_COMERCIALES_JUNIO;La condición de retiro por depósito debe venir de dato operativo externo o carga manual.
ACJ26-016;2026-06;2026-06-01;2026-06-30;PPTX_POR_VOLUMEN;DESCUENTO_SIMPLE;PETIT_MAYORISTAS;Espumantes;Petit Mayoristas;MAYORISTA;TODOS_ACTIVOS;"Suter; San Telmo; Dada";"SUTER; SAN TELMO; DADA";10 cajas -> 10%;10;caja;;;10;;;NO_ACUMULAR_SIN_VALIDACION;70;ACTIVA;NO;ACCIONES_COMERCIALES_JUNIO;Regla de volumen para Petit Mayoristas.
ACJ26-017;2026-06;2026-06-01;2026-06-30;NOTA_GERENCIA_2026-06-03;DESCUENTO_SIMPLE;ACCION_ESPECIAL_VENDEDOR;Tradicional V3/V4/V6 30%;Tradicional;TRADICIONAL;"V3; V4; V6";"Alma Mora; Dada vino; Alaris; Finca Las Moras";"ALMA MORA; DADA VINO; ALARIS; FINCA LAS MORAS";30% en tradicionales solo para vendedores V3, V4 y V6;;;;;30;;No informado;NO_ACUMULAR_SIN_VALIDACION;95;ACTIVA_CONDICIONADA_A_TRADICIONAL_Y_VENDEDOR;NO;ACCIONES_COMERCIALES_JUNIO;No aplicar a autoservicios, VTK/TDB, On Premise ni mayoristas. Dada vino no debe confundirse con Sidra Dadá, Dada Extra Brut ni RTD.
ACJ26-018;2026-06;2026-06-01;2026-06-30;IMAGEN_PLAN_COBERTURA;BONIFICACION_INCORPORACION;PLAN_COBERTURA_ON_PREMISE;Alma Mora / Alto Superior Medio / Premium;On Premise PDV B y C;ON_PREMISE;TODOS_ACTIVOS;"Alma Mora; Segmento Alto; Segmento Superior; Segmento Medio; Segmento Premium";Según línea comercial;"Incorporación: tope 1 combo por PDV por línea comercial; Alma Mora condición 1+2; Alto/Superior/Medio condición 1+2; Premium condición 1+1";1;combo;1;combo por PDV por LC;;1+2 o 1+1 según LC;"1 combo por PDV por línea comercial; tope 4 etiquetas";NO_ACUMULAR_SIN_VALIDACION;85;ACTIVA_CON_CONTROL_SIN_CARGO;NO;ACCIONES_COMERCIALES_JUNIO;Para reconocer sin cargo se debe transmitir en campo 'Cantidad Sin Cargo UM'. Inversión por PDV informada: $311.649.
ACJ26-019;2026-06;2026-06-01;2026-12-31;IMAGEN_PLAN_COBERTURA;BONIFICACION_RECOMPRA;PLAN_COBERTURA_ON_PREMISE;Recompra Alma Mora;On Premise PDV B y C;ON_PREMISE;TODOS_ACTIVOS;Alma Mora;ALMA MORA;Recompra 5+1 botellas en Alma Mora hasta diciembre;5;botella;;;;5+1 botellas;2 cajas por mes por PDV hasta diciembre;NO_ACUMULAR_SIN_VALIDACION;85;ACTIVA_HASTA_DICIEMBRE;NO;ACCIONES_COMERCIALES_JUNIO;Controlar por PDV y mes.
ACJ26-020;2026-06;2026-06-01;2026-12-31;IMAGEN_PLAN_COBERTURA;BONIFICACION_RECOMPRA;PLAN_COBERTURA_ON_PREMISE;Recompra LC 1+1 a 6 meses;On Premise PDV B y C;ON_PREMISE;TODOS_ACTIVOS;Línea comercial incorporada;Según LC;Recompra 1+1 a los 6 meses de la incorporación;1;combo;2;combos por PDV total LC;;1+1;2 combos por PDV total LC;NO_ACUMULAR_SIN_VALIDACION;85;ACTIVA_CON_FECHA_INCORPORACION;NO;ACCIONES_COMERCIALES_JUNIO;Necesita fecha de incorporación del PDV/LC para calcular los 6 meses.
ACJ26-021;2026-06;2026-06-01;2026-06-30;IMAGEN_PLAN_ACCION_11_TITULARES;DROP_11_TITULARES;11_TITULARES;Tradicionales;Tradicional;TRADICIONAL;TODOS_ACTIVOS;Depende de los 11 titulares de cada segmento;11 titulares por segmento;Drop de 3 unidades mínimo hasta 1 caja máximo de cada código titular;3;unidad;1;caja por código titular;;;1 caja máximo por código titular;SEGUN_SEGMENTO_NO_VOLUMEN;65;ACTIVA_PARA_MEJORAR_QUIEBRES;NO;"ACCIONES_COMERCIALES_JUNIO; MOD_11_TITULARES";Solo si el PDV no cuenta con presencia del código. No es acción para volumen.
ACJ26-022;2026-06;2026-06-01;2026-06-30;IMAGEN_PLAN_ACCION_11_TITULARES;DROP_11_TITULARES;11_TITULARES;Autoservicios;Autoservicio;AUTOSERVICIO;TODOS_ACTIVOS;Depende de los 11 titulares de cada segmento;11 titulares por segmento;Drop de 1 caja mínimo y máximo de cada código titular;1;caja;1;caja por código titular;;;1 caja exacta por código titular;SEGUN_SEGMENTO_NO_VOLUMEN;65;ACTIVA_PARA_MEJORAR_QUIEBRES;NO;"ACCIONES_COMERCIALES_JUNIO; MOD_11_TITULARES";Solo si el PDV no cuenta con presencia del código. No es acción para volumen.
ACJ26-023;2026-06;2026-06-01;2026-06-30;IMAGEN_ACCIONES_INCORPORACION;BONIFICACION_INCORPORACION;ON_PREMISE_VTK_TDB;Vinos y Espumantes / 11 Titulares;"On Día; On Noche; Vinoteca; Tienda de Bebidas";"ON_DIA; ON_NOCHE; VTK_TDB";TODOS_ACTIVOS;11 Titulares;11 titulares por segmento;ON Día/ON Noche: comprando 1 caja de cualquier 11T, lleva 2 cajas sin cargo del mismo 11T, combinable dentro de misma LC. VTK/TDB: comprando 1 caja, lleva 1 caja sin cargo del mismo 11T.;1;caja;;;;"ON: 1+2 cajas; VTK/TDB: 1+1 caja";3 combos por PDV;SOLO_MISMA_LINEA_COMERCIAL;85;ACTIVA_CON_TOPE_PDV;NO;"ACCIONES_COMERCIALES_JUNIO; MOD_11_TITULARES";Chequear topes por jefatura/distribuidora antes de liquidar.
ACJ26-024;2026-06;2026-06-01;2026-06-30;IMAGEN_ACCIONES_INCORPORACION;BONIFICACION_INCORPORACION;ON_PREMISE_VTK_TDB;Innovaciones;"On Día; On Noche; Vinoteca; Tienda de Bebidas";"ON_DIA; ON_NOCHE; VTK_TDB";TODOS_ACTIVOS;Innovaciones listadas;Lista cerrada de innovaciones Junio 2026;ON Día/ON Noche: comprando 1 caja de innovaciones, lleva 2 cajas sin cargo de la misma innovación. VTK/TDB: comprando 1 caja, lleva 1 caja sin cargo de la misma innovación.;1;caja;;;;"ON: 1+2 cajas; VTK/TDB: 1+1 caja";1 combo por PDV;MISMA_INNOVACION;85;ACTIVA_CON_TOPE_PDV;NO;"ACCIONES_COMERCIALES_JUNIO; MOD_INNOVACIONES";Chequear topes por distribuidora antes de liquidar.
ACJ26-025;2026-06;2026-06-01;2026-06-30;IMAGEN_ACCIONES_INCORPORACION;BONIFICACION_INCORPORACION;VTK_TDB;Antares botella y porrón;"Vinoteca; Tienda de Bebidas";VTK_TDB;TODOS_ACTIVOS;Antares Botella y Porrón;"ANTARES BOTELLA; ANTARES PORRON";Con la compra de un six pack de botella y porrón, lleva un six pack de lata IPA Sin Alcohol;1;six pack;;;;1 six pack lata IPA sin alcohol;1 combo por PDV;NO_ACUMULAR_SIN_VALIDACION;80;ACTIVA_CON_TOPE_PDV;NO;"ACCIONES_COMERCIALES_JUNIO; MOD_INNOVACIONES";Chequear topes por distribuidora.
ACJ26-026;2026-06;2026-06-01;2026-06-30;IMAGEN_ACCIONES_INCORPORACION;BONIFICACION_INCORPORACION;VTK_TDB;Dadá Tinto de Verano;"Vinoteca; Tienda de Bebidas";VTK_TDB;TODOS_ACTIVOS;DADÁ Tinto de Verano;DADA TINTO DE VERANO;Comprando dos six packs, lleva una caja de vinos sin cargo (LC Dadá);2;six pack;;;;1 caja vino sin cargo LC Dadá;1 combo por PDV;NO_ACUMULAR_SIN_VALIDACION;80;ACTIVA_CON_TOPE_PDV;NO;"ACCIONES_COMERCIALES_JUNIO; MOD_INNOVACIONES";Chequear topes por distribuidora.
ACJ26-027;2026-06;2026-06-01;2026-06-30;NOTA_GERENCIA_2026-06-04;DESCUENTO_SIMPLE;RTD;Smirnoff Ice Clásica (código 35103);Cualquier segmento;TODOS;"V3; V4; V6; V8";;35103;25% sin mínimo y sin tope;;;;;25;;Sin tope;NO_ACUMULAR_SIN_VALIDACION;95;ACTIVA;NO;ACCIONES_COMERCIALES_JUNIO;Aplica SOLO al código 35103 (Smirnoff Ice Clásica). Cualquier canal. Solo vendedores V3, V4, V6 y V8. Sin tope.
