id_accion;mes;vigencia_desde;vigencia_hasta;fuente;tipo_regla;categoria;subcategoria;segmento_cliente_aplica;canal_aplica;vendedores_aplica;lineas_comerciales;productos_marcas;condicion_compra;minimo;unidad_minimo;maximo;unidad_maximo;descuento_pct;bonificacion;tope;combinable;prioridad_motor;estado_validacion;aplica_cierre_mes;aplica_modulo;observaciones;orden_pptx;slide_pptx;bloque_pptx;categoria_tarjeta;detalle_click_ref;detalle_click_origen;mostrar_detalle_click;orden_visual;notas_ui
ACJ26-011;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_SIMPLE;RTD LATAS;Gordons Tonic + SMIR BC + Antares;"Vinoteca; Tienda de Bebidas";VTK_TDB;TODOS_ACTIVOS;RTD Latas;"Gordons Tonic; Smirnoff BC; Antares";"Pack o más -> 5%; BC 1 pack o más -> 15%";1;pack;;pack;5|15;;;NO_ACUMULAR_SIN_VALIDACION;55;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;La subregla BC 15% debe priorizarse si el SKU pertenece a BC.;11;2;02_DROP_VTK_TDB;RTD (Latas);CAT_RTD_LATAS_GENERAL;DETALLE_CATEGORIAS;SI;11;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-012;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_SIMPLE;SPIRITS;Familia Smirnoff y Gordons;"Vinoteca; Tienda de Bebidas";VTK_TDB;TODOS_ACTIVOS;Spirits;"Familia Smirnoff; Familia Gordons";1 caja o más -> 5%;1;caja;;caja;5;;;NO_ACUMULAR_SIN_VALIDACION;50;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;Regla específica VTK/TDB para familia Smirnoff y Gordons.;12;2;02_DROP_VTK_TDB;Spirits;CAT_SPIRITS_SMIRNOFF_GORDONS;DETALLE_CATEGORIAS;SI;12;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-013;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_ESCALA;INNOVACIONES;Innovaciones julio 2026;Cualquier segmento;TODOS;TODOS_ACTIVOS;Innovaciones;"Cazador; Bautismo Cabernet; Alma Mora Low; Alaris Dulce Cosecha Tinto; Sidra Dadá; NC Lata; Don David Red Blend; Blend de Extremos Pinot Noir; Dadá Extra Brut; Espumante Medalla";"18% de descuento por 3 unidades; 20% de descuento por más de 5 bultos (pueden ser surtidos)";3;unidad;;bulto;18|20;;;NO_ACUMULAR_SIN_VALIDACION;80;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;"No aplicar a todas las innovaciones del maestro; solo a esta lista cerrada del PPTX julio.";13;3;03_ESPECIALES;Innovaciones;CAT_INNOVACIONES_JULIO_2026;DETALLE_CATEGORIAS;SI;13;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-014;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;BONIFICACION;SMIRNOFF Y GORDONS 5+1;Solo On Premise Noche y Bares;"On Premise Noche; Bares";"ON_PREMISE_NOCHE; BARES";TODOS_ACTIVOS;Spirits;"Familia Smirnoff; Familia Gordons";Cada 5 cajas, 1 caja bonificada mientras cumpla el segmento;5;caja;;caja;;5+1 caja;"On Premise Noche: 200 cajas; Bares: 75 cajas";NO_ACUMULAR_SIN_VALIDACION;90;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;Respetar segmento del cliente. Acción vigente mientras cumpla segmento y tope.;14;3;03_ESPECIALES;Smirnoff y Gordons 5+1;CAT_SPIRITS_SMIRNOFF_GORDONS;DETALLE_CATEGORIAS;SI;14;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-015;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_SIMPLE;PLANES_AASS;VDA;Autoservicio con plan AASS;PLANES_AASS;TODOS_ACTIVOS;VDA;Según maestro productos activos;10% de descuento sin mínimo y sin topes;0;caja;;caja;10;;Sin tope;NO_ACUMULAR_SIN_VALIDACION;70;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;"Aplicar solo a clientes dentro de planes AASS. Sin descuento en Planes AS: Vinos de Mesa; Masivos; Ultra Premium (Vinos); Super Premium (Spirits); Premium (Spirits); Standard solo JW Red.";15;4;04_PLANES_AASS;Planes AASS - VDA;CAT_VDA;DETALLE_CATEGORIAS;SI;15;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-016;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_SIMPLE;PLANES_AASS;SPIRITS;Autoservicio con plan AASS;PLANES_AASS;TODOS_ACTIVOS;Spirits;"Familia Gordons; Familia Smirnoff";8% de descuento sin mínimo y sin topes;0;caja;;caja;8;;Sin tope;NO_ACUMULAR_SIN_VALIDACION;70;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;"Aplicar solo a clientes dentro de planes AASS. Sin descuento en Planes AS: Vinos de Mesa; Masivos; Ultra Premium (Vinos); Super Premium (Spirits); Premium (Spirits); Standard solo JW Red.";16;4;04_PLANES_AASS;Planes AASS - Spirits;CAT_SPIRITS_SMIRNOFF_GORDONS;DETALLE_CATEGORIAS;SI;16;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-017;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_SIMPLE;PLANES_AASS;ESPUMANTES;Autoservicio con plan AASS;PLANES_AASS;TODOS_ACTIVOS;Espumantes;"Suter; San Telmo; Dadá";8% de descuento sin mínimo y sin topes;0;caja;;caja;8;;Sin tope;NO_ACUMULAR_SIN_VALIDACION;70;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;"Aplicar solo a clientes dentro de planes AASS. Sin descuento en Planes AS: Vinos de Mesa; Masivos; Ultra Premium (Vinos); Super Premium (Spirits); Premium (Spirits); Standard solo JW Red.";17;4;04_PLANES_AASS;Planes AASS - Espumantes;CAT_ESPUMANTES_PLANES_AASS;DETALLE_CATEGORIAS;SI;17;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-018;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_SIMPLE;PLANES_AASS;RESTO DE SKU;Autoservicio con plan AASS;PLANES_AASS;TODOS_ACTIVOS;Resto de SKU;Resto de SKU permitido según exclusiones;7% de descuento sin mínimo;0;caja;;caja;7;;;NO_ACUMULAR_SIN_VALIDACION;70;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;"Aplicar solo a clientes dentro de planes AASS. Sin descuento en Planes AS: Vinos de Mesa; Masivos; Ultra Premium (Vinos); Super Premium (Spirits); Premium (Spirits); Standard solo JW Red.";18;4;04_PLANES_AASS;Planes AASS - Resto SKU;CAT_PLANES_AASS_EXCLUSIONES;DETALLE_CATEGORIAS;SI;18;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-019;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_ESCALA;PETIT_MAYORISTAS;VDA;Petit Mayoristas;MAYORISTA;TODOS_ACTIVOS;VDA;Según maestro productos activos;"Más de 50 cajas -> 12%; si retira por depósito -> 15%";51;caja;;caja;12|15;;;NO_ACUMULAR_SIN_VALIDACION;75;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;La condición de retiro por depósito debe venir de dato operativo externo o carga manual.;19;5;05_POR_VOLUMEN;Volumen - VDA;CAT_VDA;DETALLE_CATEGORIAS;SI;19;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-020;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_ESCALA;PETIT_MAYORISTAS;SPIRITS;Petit Mayoristas;MAYORISTA;TODOS_ACTIVOS;Spirits;"Familia Gordons; Familia Smirnoff";"Más de 50 cajas -> 12%; si retira por depósito -> 15%";51;caja;;caja;12|15;;;NO_ACUMULAR_SIN_VALIDACION;75;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;La condición de retiro por depósito debe venir de dato operativo externo o carga manual.;20;5;05_POR_VOLUMEN;Volumen - Spirits;CAT_SPIRITS_SMIRNOFF_GORDONS;DETALLE_CATEGORIAS;SI;20;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-021;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_SIMPLE;PETIT_MAYORISTAS;ESPUMANTES;Petit Mayoristas;MAYORISTA;TODOS_ACTIVOS;Espumantes;"Suter; San Telmo; Dadá";10 cajas -> 10%;10;caja;;caja;10;;;NO_ACUMULAR_SIN_VALIDACION;70;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;Regla de volumen para Petit Mayoristas.;21;5;05_POR_VOLUMEN;Volumen - Espumantes;CAT_ESPUMANTES_PLANES_AASS;DETALLE_CATEGORIAS;SI;21;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-022;2026-07;1/7/2026;31/7/2026;NOTA_GERENCIA_JULIO_2026;DESCUENTO_SIMPLE;ACCION_ESPECIAL_VENDEDOR;Caja mixta VDA Los Arboles + Trapiche Almacen/Kiosco;"Almacén; Despensa; Kiosco";ALMACEN_DESPENSA_KIOSCO;"V3; V4; V6; V8; V10";;"Los Arboles; Trapiche";1 caja mixta (3 botellas Los Árboles + 3 botellas Trapiche) -> 20%;1;caja mixta (3+3 botellas);1;caja por cliente en el mes;20;;1 caja mixta por cliente en el mes;NO_ACUMULAR_SIN_VALIDACION;95;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;Acción especial almacén/despensa/kiosco para V3, V4, V6, V8 y V10. Una sola caja mixta por cliente en el mes: 3 botellas de Los Árboles + 3 botellas de Trapiche, 20%. Despensa = Almacén.;22;6;06_ESPECIAL_VENDEDOR;Caja mixta VDA - Los Árboles + Trapiche;CAT_MIX_ARBOLES_TRAPICHE;DETALLE_CATEGORIAS;SI;22;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-023;2026-07;1/7/2026;31/7/2026;NOTA_GERENCIA_JULIO_2026;DESCUENTO_SIMPLE;ACCION_ESPECIAL_VENDEDOR;Caja mixta Spirits Smirnoff + Gordons Almacen/Kiosco;"Almacén; Despensa; Kiosco";ALMACEN_DESPENSA_KIOSCO;"V3; V4; V6; V8; V10";;"Smirnoff; Gordon's";1 caja mixta (3 botellas Smirnoff + 3 botellas Gordon's) -> 15%;1;caja mixta (3+3 botellas);1;caja por cliente en el mes;15;;1 caja mixta por cliente en el mes;NO_ACUMULAR_SIN_VALIDACION;95;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;Acción especial almacén/despensa/kiosco para V3, V4, V6, V8 y V10. Una sola caja mixta por cliente en el mes: 3 botellas de Smirnoff + 3 botellas de Gordon's, 15%. Despensa = Almacén.;23;6;06_ESPECIAL_VENDEDOR;Caja mixta Spirits - Smirnoff + Gordon's;CAT_MIX_SMIRNOFF_GORDONS;DETALLE_CATEGORIAS;SI;23;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
