Cliente;Direccion;Localidad;FechaComprobante;FechaEntrega;FechaCarga;NroComprobante;TipoDeVenta;Empresa;Codigo;CantBase;ImporteNetoItem;ImporteItem;RazonSocial;MotivoDevolucion;Descuento;CodVendedor;Vendedor;RutaPreventa;Articulo;NetoItem;Reparto;ComentarioInterno;Ramo;Subramo;PrecioCosto;Chofer;valorDescuento;Mon_Simbolo;Mon_Decimales;Proveedor;PesoKg;ImpuestoInterno;CondicionPago;FechaLiquidacion;ComboCodigo;Marca;Linea;Sabor;Calibre;Familia;Rubro;Tags;Promociones;SegmentoRentabilidad;CodSupervisor;NomSupervisor;Origen;ComprobanteReferencia;Etiqueta;VentaDirecta;NumeroVenta;Pendiente;ListaPrecio;Taxonomia;OrdenPreparacion;FechaPreparacion;Bodeguista;BodeguistaNombre
2332;RIVADAVIA 355;ARROYITO;1/4/2026;2/4/2026;30/3/2026;FAC-A0006-00060877;Venta;P&P LOGISTICA S.R.L;30022;6;36701,75;44409,12;TONINI MARISA ELIZABETH;;10,00%;2;LUDUEÑA JULIANA;2020;SMIRNOFF RASPBERRY DO 6X700;6116,96;3533;;TRADITIONAL TRADE;Almacen/Despensa;32124,3;DELGADO MAYCO JOAQUIN;679,66;$;2;GRUPO PEÑAFLOR SA;4,2;0;Contado;6/4/2026 08:34;;Smirnoff;Standard (S);No definido;;;Vodka;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152094;0;Lista General;Almacen/Despensa - C;12261;31/3/2026;2;LESCANO FRANCO DARIO
2332;RIVADAVIA 355;ARROYITO;1/4/2026;2/4/2026;30/3/2026;FAC-A0006-00060877;Venta;P&P LOGISTICA S.R.L;30020;6;36701,75;44409,12;TONINI MARISA ELIZABETH;;10,00%;2;LUDUEÑA JULIANA;2020;SMIRNOFF GREEN APPLE DO 6X700;6116,96;3533;;TRADITIONAL TRADE;Almacen/Despensa;32124,3;DELGADO MAYCO JOAQUIN;679,66;$;2;GRUPO PEÑAFLOR SA;4,2;0;Contado;6/4/2026 08:34;;Smirnoff;Standard (S);No definido;;;Vodka;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152094;0;Lista General;Almacen/Despensa - C;12261;31/3/2026;2;LESCANO FRANCO DARIO
2332;RIVADAVIA 355;ARROYITO;1/4/2026;2/4/2026;30/3/2026;FAC-A0006-00060877;Venta;P&P LOGISTICA S.R.L;30139;6;56368,93;68206,4;TONINI MARISA ELIZABETH;;10,00%;2;LUDUEÑA JULIANA;2020;GORDONS  TROPICAL FRUITS 6X700;9394,82;3533;;TRADITIONAL TRADE;Almacen/Despensa;49363,26;DELGADO MAYCO JOAQUIN;1043,87;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;6/4/2026 08:34;;;;;;;;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152094;0;Lista General;Almacen/Despensa - C;12261;31/3/2026;2;LESCANO FRANCO DARIO
2332;RIVADAVIA 355;ARROYITO;1/4/2026;2/4/2026;30/3/2026;FAC-A0006-00060877;Venta;P&P LOGISTICA S.R.L;35105;6;10911,88;13203,37;TONINI MARISA ELIZABETH;;6,00%;2;LUDUEÑA JULIANA;2020;SMF ICE RED BERRIE LAT 4X6X473;1818,65;3533;;TRADITIONAL TRADE;Almacen/Despensa;8882,64;DELGADO MAYCO JOAQUIN;116,08;$;2;GRUPO PEÑAFLOR SA;2,838;0;Contado;6/4/2026 08:34;;Smirnoff Ice Flavours;RTD (s);No definido;;;RTD (S);PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152094;0;Lista General;Almacen/Despensa - C;12261;31/3/2026;2;LESCANO FRANCO DARIO
252;AV BRINKMANN 655;BRINKMANM;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060890;Venta;P&P LOGISTICA S.R.L;80010;6;18259,98;22094,58;ACTIS LETICIA CARLA;;0,00%;4;GRIBAUDO ANGEL;4030;LOS ARBOLES SEL MALBEC 6X750;3043,33;3537;;TRADITIONAL TRADE;Almacen/Despensa;14391,54;CHOFER DE PRUEBA;0;$;2;GRUPO PEÑAFLOR SA;4,5;0;Contado;6/4/2026 07:34;;Los Arboles;Medio Alto;No definido;;;Vinos del Año;Grupo Peñaflor,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152232;0;Lista General;Almacen/Despensa - A;12262;1/4/2026;2;LESCANO FRANCO DARIO
468;BROWN-MARMOL 1;BRINKMANN;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060891;Venta;P&P LOGISTICA S.R.L;72857;3;7922,31;9586;SCALERANDI ALAN GABRIEL;;0,00%;4;GRIBAUDO ANGEL;4030;F.LAS MORAS CABSAU 6X750 ;2640,77;3537;;TRADITIONAL TRADE;Autoservicio Tradicional;6243,93;CHOFER DE PRUEBA;0;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;6/4/2026 07:34;;Finca Las Moras;Medio Alto;No definido;;;Vinos del Año;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152252;0;Lista General;Autoservicio Tradicional - C;12262;1/4/2026;2;LESCANO FRANCO DARIO
468;BROWN-MARMOL 1;BRINKMANN;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060891;Venta;P&P LOGISTICA S.R.L;72859;3;7922,31;9586;SCALERANDI ALAN GABRIEL;;0,00%;4;GRIBAUDO ANGEL;4030;F.LAS MORAS MALBEC 6X750;2640,77;3537;;TRADITIONAL TRADE;Autoservicio Tradicional;5931,72;CHOFER DE PRUEBA;0;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;6/4/2026 07:34;;Finca Las Moras;Medio Alto;No definido;;;Vinos del Año;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152252;0;Lista General;Autoservicio Tradicional - C;12262;1/4/2026;2;LESCANO FRANCO DARIO
468;BROWN-MARMOL 1;BRINKMANN;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060891;Venta;P&P LOGISTICA S.R.L;70750;3;8198,19;9919,81;SCALERANDI ALAN GABRIEL;;0,00%;4;GRIBAUDO ANGEL;4030;TRAPICHE ALARIS CABSAUV 6X750 ;2732,73;3537;;TRADITIONAL TRADE;Autoservicio Tradicional;6461,37;CHOFER DE PRUEBA;0;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;6/4/2026 07:34;;Alaris;Medio Alto;No definido;;;Vinos del Año;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152252;0;Lista General;Autoservicio Tradicional - C;12262;1/4/2026;2;LESCANO FRANCO DARIO
468;BROWN-MARMOL 1;BRINKMANN;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060891;Venta;P&P LOGISTICA S.R.L;71704;3;8198,19;9919,81;SCALERANDI ALAN GABRIEL;;0,00%;4;GRIBAUDO ANGEL;4030;TRAPICHE ALARIS MALBEC 6X750;2732,73;3537;;TRADITIONAL TRADE;Autoservicio Tradicional;6461,37;CHOFER DE PRUEBA;0;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;6/4/2026 07:34;;Alaris;Medio Alto;No definido;;;Vinos del Año;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152252;0;Lista General;Autoservicio Tradicional - C;12262;1/4/2026;2;LESCANO FRANCO DARIO
468;BROWN-MARMOL 1;BRINKMANN;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060891;Venta;P&P LOGISTICA S.R.L;80007;3;9129,99;11047,29;SCALERANDI ALAN GABRIEL;;0,00%;4;GRIBAUDO ANGEL;4030;LOS ARBOLES SEL CABERNET 6X750;3043,33;3537;;TRADITIONAL TRADE;Autoservicio Tradicional;7195,77;CHOFER DE PRUEBA;0;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;6/4/2026 07:34;;;Medio Alto;No definido;;;Vinos del Año;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152252;0;Lista General;Autoservicio Tradicional - C;12262;1/4/2026;2;LESCANO FRANCO DARIO
468;BROWN-MARMOL 1;BRINKMANN;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060891;Venta;P&P LOGISTICA S.R.L;80010;3;9129,99;11047,29;SCALERANDI ALAN GABRIEL;;0,00%;4;GRIBAUDO ANGEL;4030;LOS ARBOLES SEL MALBEC 6X750;3043,33;3537;;TRADITIONAL TRADE;Autoservicio Tradicional;7195,77;CHOFER DE PRUEBA;0;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;6/4/2026 07:34;;Los Arboles;Medio Alto;No definido;;;Vinos del Año;Grupo Peñaflor,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152252;0;Lista General;Autoservicio Tradicional - C;12262;1/4/2026;2;LESCANO FRANCO DARIO
886;Comuna de Giaveno 61;BRINKMANN;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060902;Venta;P&P LOGISTICA S.R.L;74446;3;15881,82;19217;BUSTOS GERARDO GABRIEL ;;0,00%;4;GRIBAUDO ANGEL;4030;DADA 7 SWEET  6X750;5293,94;3537;;TRADITIONAL TRADE;Almacen/Despensa;12152,64;CHOFER DE PRUEBA;0;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;6/4/2026 07:34;;;;;;;;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152505;0;Lista General;Almacen/Despensa - P;12262;1/4/2026;2;LESCANO FRANCO DARIO
886;Comuna de Giaveno 61;BRINKMANN;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060902;Venta;P&P LOGISTICA S.R.L;74473;3;15881,82;19217;BUSTOS GERARDO GABRIEL ;;0,00%;4;GRIBAUDO ANGEL;4030;DADA ESPUMANTE ROS6X750 ;5293,94;3537;;TRADITIONAL TRADE;Almacen/Despensa;12146,55;CHOFER DE PRUEBA;0;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;6/4/2026 07:34;;Champaña Dada;Champaña Alta y Premium;No definido;;;Espumantes;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152505;0;Lista General;Almacen/Despensa - P;12262;1/4/2026;2;LESCANO FRANCO DARIO
886;Comuna de Giaveno 61;BRINKMANN;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060902;Venta;P&P LOGISTICA S.R.L;72859;3;7922,31;9586;BUSTOS GERARDO GABRIEL ;;0,00%;4;GRIBAUDO ANGEL;4030;F.LAS MORAS MALBEC 6X750;2640,77;3537;;TRADITIONAL TRADE;Almacen/Despensa;5931,72;CHOFER DE PRUEBA;0;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;6/4/2026 07:34;;Finca Las Moras;Medio Alto;No definido;;;Vinos del Año;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152505;0;Lista General;Almacen/Despensa - P;12262;1/4/2026;2;LESCANO FRANCO DARIO
886;Comuna de Giaveno 61;BRINKMANN;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060902;Venta;P&P LOGISTICA S.R.L;71704;3;8198,19;9919,81;BUSTOS GERARDO GABRIEL ;;0,00%;4;GRIBAUDO ANGEL;4030;TRAPICHE ALARIS MALBEC 6X750;2732,73;3537;;TRADITIONAL TRADE;Almacen/Despensa;6461,37;CHOFER DE PRUEBA;0;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;6/4/2026 07:34;;Alaris;Medio Alto;No definido;;;Vinos del Año;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152505;0;Lista General;Almacen/Despensa - P;12262;1/4/2026;2;LESCANO FRANCO DARIO
2630;AV. TRISTAN CORNEJO 114;BALNEARIA;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060914;Venta;P&P LOGISTICA S.R.L;30023;12;122425,8;151807,99;CHEN MEI;;11,00%;6;PEYRONEL ANDREA;6031;WHITE HORSE DO 12X750;10202,15;3544;;TRADITIONAL TRADE;Autoservicio Tradicional;108415,08;ACOSTA FACUNDO;1260,94;$;2;GRUPO PEÑAFLOR SA;9;0;Contado;7/4/2026 10:35;;White Horse;Standard (S);No definido;;;Whisky;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152243;0;Lista General;Autoservicio Tradicional - B;12263;1/4/2026;20000;MOLINA JUAN
2630;AV. TRISTAN CORNEJO 114;BALNEARIA;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060914;Venta;P&P LOGISTICA S.R.L;44395;6;17575,19;21793,24;CHEN MEI;;9,00%;6;PEYRONEL ANDREA;6031;ELEMENTOS RED BLEND 6 X 750;2929,2;3544;;TRADITIONAL TRADE;Autoservicio Tradicional;14778,42;ACOSTA FACUNDO;289,7;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;7/4/2026 10:35;;ELEMENTOS;Alto;;;;Vinos del Año;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152243;0;Lista General;Autoservicio Tradicional - B;12263;1/4/2026;20000;MOLINA JUAN
2630;AV. TRISTAN CORNEJO 114;BALNEARIA;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060914;Venta;P&P LOGISTICA S.R.L;30004;1;48718,78;60411,29;CHEN MEI;;0,00%;6;PEYRONEL ANDREA;6031;JW BLACK LABEL 12x1000;48718,78;3544;;TRADITIONAL TRADE;Autoservicio Tradicional;35553,26;ACOSTA FACUNDO;0;$;2;GRUPO PEÑAFLOR SA;1;0;Contado;7/4/2026 10:35;;JW;Premium (S);No definido;;;Whisky;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152243;0;Lista General;Autoservicio Tradicional - B;12263;1/4/2026;20000;MOLINA JUAN
3522;SUC BALNEARIA 0;BALNEARIA;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060916;Venta;P&P LOGISTICA S.R.L;74827;6;20201,89;24444,29;SUPERMERCADO GAIDO SRL;;9,00%;6;PEYRONEL ANDREA;6031;ALMA MORA BLANCO DULCE LOW 6X750;3366,98;3544;;TRADITIONAL TRADE;Autoservicio Tradicional;16987,14;ACOSTA FACUNDO;333;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;7/4/2026 10:35;;;Alto;;;;Vinos del Año;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152311;0;Lista General;Autoservicio Tradicional - B;12263;1/4/2026;20000;MOLINA JUAN
1143;SAN JOSE 171;Balnearia;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060920;Venta;P&P LOGISTICA S.R.L;35104;6;11608,38;14046,14;ERCOLE ARRASCAETA NICOLAS JOSE;;0,00%;6;PEYRONEL ANDREA;6031;SMF ICE GREENAPPLE LAT 4X6X473;1934,73;3544;;TRADITIONAL TRADE;Kiosco/Maxikiosco;8882,64;ACOSTA FACUNDO;0;$;2;GRUPO PEÑAFLOR SA;2,838;0;Contado;7/4/2026 10:35;;Smirnoff Ice Flavours;RTD (s);No definido;;;RTD (S);PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152394;0;Lista General;Kiosco/Maxikiosco - C;12263;1/4/2026;20000;MOLINA JUAN
1143;SAN JOSE 171;Balnearia;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060920;Venta;P&P LOGISTICA S.R.L;30075;1;8673,19;10494,56;ERCOLE ARRASCAETA NICOLAS JOSE;;9,00%;6;PEYRONEL ANDREA;6031;GORDON´S GIN 6x700;8673,19;3544;;TRADITIONAL TRADE;Kiosco/Maxikiosco;7511,8;ACOSTA FACUNDO;857,79;$;2;GRUPO PEÑAFLOR SA;0,7;0;Contado;7/4/2026 10:35;;Gordon´s;Standard (S);No definido;;;Gin;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152394;0;Lista General;Kiosco/Maxikiosco - C;12263;1/4/2026;20000;MOLINA JUAN
2239;GUIDO ACTIS 271;BALNEARIA;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060922;Venta;P&P LOGISTICA S.R.L;74208;3;10100,95;12222,14;MADUEÑO FLAVIA ROMINA;;9,00%;6;PEYRONEL ANDREA;6031;ALMA MORA CABSAUV6X750 ;3366,98;3544;;TRADITIONAL TRADE;Almacen/Despensa;8493,57;ACOSTA FACUNDO;333;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;7/4/2026 10:35;;Alma Mora;Alto;No definido;;;Vinos del Año;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152397;0;Lista General;Almacen/Despensa - C;12263;1/4/2026;20000;MOLINA JUAN
2239;GUIDO ACTIS 271;BALNEARIA;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060922;Venta;P&P LOGISTICA S.R.L;74393;3;9600,95;11617,14;MADUEÑO FLAVIA ROMINA;;9,00%;6;PEYRONEL ANDREA;6031;DADA FMORAS N°1 6X750;3200,32;3544;;TRADITIONAL TRADE;Almacen/Despensa;7669,5;ACOSTA FACUNDO;316,51;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;7/4/2026 10:35;;Dada;Alto;No definido;;;Vinos del Año;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152397;0;Lista General;Almacen/Despensa - C;12263;1/4/2026;20000;MOLINA JUAN
2239;GUIDO ACTIS 271;BALNEARIA;1/4/2026;2/4/2026;31/3/2026;FAC-A0006-00060922;Venta;P&P LOGISTICA S.R.L;74840;3;7460,35;9027,03;MADUEÑO FLAVIA ROMINA;;9,00%;6;PEYRONEL ANDREA;6031;ALARIS D.COSECHA TINTO 6X750;2486,78;3544;;TRADITIONAL TRADE;Almacen/Despensa;6461,37;ACOSTA FACUNDO;245,95;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;7/4/2026 10:35;;Alaris;Medio Alto;;;;Vinos del Año;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;152397;0;Lista General;Almacen/Despensa - C;12263;1/4/2026;20000;MOLINA JUAN
